PM10,SO2,NO2,CO,TEMP,PRES,DEWP,RAIN,WSPM,O3,PM2.5
202,10,19,1900,26.6,998.7,22.4,0,2.3,113,214
134,10,22,1600,26.2,999.1,22.1,0,2.2,89,185
102,9,30,1300,25.3,999.4,21.4,0,2.2,58,155
59,10,29,1000,25,999.6,21.5,0,2.3,42,117
73,12,29,1000,24.8,999.7,21.5,0,2.9,31,108
87,13,30,1100,24.5,1000.1,22,0,2,27,109
104,13,30,1000,24.3,1000.4,22.2,0,2.6,24,126
143,9,31,1200,24.3,1000.7,22,0,1.8,15,158
157,8,30,1300,24.9,1001,21.4,0,1.8,14,183
109,9,26,1100,26.5,1000.4,21.5,0,1.2,25,156
97,11,20,1000,28.1,999.9,21.6,0,1.1,45,135
112,15,14,1100,29.2,998.8,20.9,0,0.5,93,132
73,17,10,1100,29.8,998.3,20.9,0,0.9,132,121
78,18,9,1100,30.4,997.5,20.6,0,2.1,159,119
75,19,6,1200,30.1,997.4,20.1,0,2.5,185,121
86,19,5,1400,30.2,997,19.3,0,2.3,203,121
54,17,4,1400,29.5,996.6,19.8,0,2.3,192,106
91,17,13,1400,28.9,996.6,19.8,0,1.4,199,104
83,12,20,1300,27.4,997.1,22.4,0,3.1,154,89
161,8,27,1200,26.9,997.5,22.1,0,1.8,109,88
161,8,33,1100,24.4,997.4,22.8,1.9,3.1,77,97
96,5,24,900,23.7,997.2,22.7,4.8,1.1,71,80
96,3,13,700,23,997.4,22.2,16,0.6,72,60
4,3,11,800,22.6,996.2,21.8,6.1,1.3,75,43
33,3,4,700,22.2,995.4,21,3.1,0.6,76,33
22,3,NA,700,22.3,994.7,21.3,1.8,0.6,81,22
18,3,NA,700,22.8,994,22,2.9,2.4,72,18
38,4,8,1400,22.8,993.5,22,3.1,1.4,40,44
30,5,10,1500,22.4,993,21.6,5.4,0.6,31,57
10,5,10,1300,22.5,992.9,21.8,3.9,0.6,25,57
32,3,38,1200,22.7,992.3,22,10.7,1,11,32
6,4,41,1300,23.1,991.7,22.4,3.2,0.2,4,29
10,5,27,1700,23.3,991.1,22.6,3.3,1.3,10,24
3,5,27,2000,23.6,990.7,22.9,0.8,0.8,6,24
15,5,28,2100,24.1,990.1,23.1,0.1,0,8,20
10,4,26,2000,24.4,989.4,23.4,0.2,0.5,10,18
19,4,21,1700,24.6,989.2,23.6,0.8,2,13,19
21,4,23,1400,24.6,988.9,23.6,1,1,14,23
3,4,29,1500,24.8,988.8,23.8,0,0.5,9,25
17,3,26,1400,24.8,988.3,23.6,0.2,0.2,12,26
26,3,26,NA,24.7,987.5,23.7,0.4,0.9,15.6366,26
6,4,52,1400,24.3,986.8,23.4,0.5,0.9,6,32
7,3,47,1300,24.2,987.3,23.3,0,0.8,14,34
5,3,30,1200,24,987.8,23.1,0.1,0,19,38
14,3,31,1200,24,988.2,23.1,0,0.7,9,32
24,3,44,1400,23.6,988,22.8,0,0.5,4,38
12,3,35,1200,22.9,987.6,22.1,0,0.7,4,35
7,3,22,1100,22.6,987.3,21.8,0,1.4,8,36
24,3,4,800,22.6,987.1,21.8,0,1.3,17,24
7,3,11,800,23.1,987.7,20.6,0,1.3,10,22
NA,3,12,NA,22.5,988.2,19.7,0,1,NA,23
17,3,12,600,23.5,989,17.5,0,3.4,40,17
17,3,10,500,24,989.5,16.8,0,3.5,59,17
11,5,21,500,25.4,990.3,15.7,0,3.9,58,14
11,6,36,500,27,990.8,13,0,3.4,42,11
9,3,24,400,27.9,991,13.4,0,2.9,63,9
3,3,13,300,29.1,991.4,12.1,0,1.9,82,3
4,3,12,300,30.1,991.5,10.6,0,5.5,86,4
9,3,14,300,31,991.6,11.9,0,2.3,86,16
9,3,14,300,32.1,991.7,9.6,0,4.9,89,9
5,3,14,300,32.9,991.7,9.7,0,3.3,84,5
4,3,12,300,33.3,991.7,10.6,0,2,78,9
6,3,13,300,33.9,991.7,11.1,0,1.7,76,3
6,3,13,300,34,992,10.6,0,1.5,75,9
9,3,12,300,33.9,992.2,10.5,0,1.5,77,9
NA,3,14,300,31.9,993.2,15.8,0,0.7,77,4
27,3,18,300,27.1,994,16.7,0,0.5,70,10
90,3,38,500,25.7,994.8,14.5,0,0.5,37,19
24,3,30,500,24,995.3,14.4,0,0.9,30,13
14,3,14,400,22.5,995.8,14.9,0,0.8,44,12
14,3,18,400,22.9,995.9,14.2,0,2,38,14
5,3,10,300,21.9,996.4,14.3,0,0.6,47,11
15,3,23,300,21.3,996.6,14.5,0,0.9,37,9
15,3,15,300,21.4,997,14.3,0,0,43,12
10,3,14,300,20.1,997.3,14.9,0,0,44,12
19,3,17,400,20,997.8,14.6,0,0.5,39,11
14,3,14,400,20.1,998.2,15.1,0,0.5,39,13
21,3,16,400,22.6,998.2,15.7,0,0.7,36,16
43,3,26,500,24.8,998.1,16.8,0,0.6,28,21
57,5,42,700,26.4,997.8,15.7,0,0.8,23,20
49,4,40,600,28,997.7,16,0,0.5,39,23
63,6,26,500,28.6,997.6,17.8,0,1.1,79,30
79,6,18,600,29.7,997.2,17.8,0,1.9,131,33
72,8,13,600,30.8,996.5,18.2,0,1.8,174,44
82,8,17,600,31.9,996,18.5,0,1,207,53
102,9,24,800,33,995.1,15,0,3.9,245,61
102,11,32,900,32.7,994.3,13.8,0,3.5,253,78
35,8,14,500,32.4,994,15,0,3.8,205,35
29,5,12,400,31.8,994,16.1,0,1.2,163,20
58,7,16,500,30.8,994.3,16.8,0,1.8,168,29
77,7,26,600,30,995.1,17.1,0,1.8,163,44
88,6,33,600,29.4,995.8,16.2,0,1.7,145,42
58,4,36,700,29.2,996.2,18.3,0,2.5,96,38
157,13,44,1200,28.4,996.3,19.3,0,1.5,111,68
130,16,34,1300,27.5,996.1,18.5,0,1.6,116,87
130,12,30,1100,26.5,996.1,20.6,0,1.8,87,78
118,11,25,1000,25.7,995.8,21.1,0,2.2,77,69
120,9,20,1100,25.2,995.7,21.1,0,2.5,75,98
120,8,12,1100,24.9,996,21.6,0,1.9,80,117
110,8,8,1200,24.8,996.3,22.1,0,1.9,89,130
129,10,9,1200,24.6,996.5,22.1,0,1.2,84,143
127,10,11,1300,24.7,996.2,22.4,0,2.5,74,156
127,8,14,1300,24.8,996.3,22.3,0,0.8,67,158
132,9,17,1300,25.5,996.4,22.6,0,1.9,66,168
127,10,20,1400,26.6,996.2,22.7,0,0.9,66,167
143,13,21,1600,26.6,996.1,22.4,0,2,73,168
135,14,21,1800,28.2,995.7,22.7,0,2.2,87,173
174,15,30,2100,27.9,995.2,22.6,0,3.3,89,204
192,15,33,2300,27.6,995.1,22.8,0,3.5,108,211
185,20,35,2800,27.4,994.9,22.6,0,4.2,114,218
174,33,38,3400,27.8,994.6,22.5,0,2.5,105,221
165,31,38,3300,27.6,994.2,22.5,0,3,105,212
159,27,36,3000,27.4,994.5,20.7,0,2.4,109,205
84,19,33,2300,27.2,994.8,21.2,0,0.8,111,174
74,19,33,1200,26.6,994.9,20.4,0,2.4,112,174
58,10,22,1200,26.2,995.5,21,0,1.3,109,118
107,9,28,1100,25.8,995.6,19.2,0,1.2,94,120
56,9,29,1100,25.5,995.3,19.4,0,1,88,123
50,11,22,800,24.9,994.9,20.4,0,0,98,86
79,9,28,900,24.5,994.5,20.8,0,0,75,106
118,7,27,1100,23.8,994.1,21.1,0,0.8,58,123
98,4,14,1200,23.7,993.6,21,0,0.2,52,137
95,3,10,1300,23.1,993.6,21,0,0.6,42,140
82,4,38,1300,22.9,994.1,21.2,0,0.7,26,137
105,3,40,1300,23.2,993.9,21.1,0,0.1,14,138
96,3,22,1400,23.4,994.1,21.3,0,0.7,24,141
114,3,17,1600,24.6,994.3,20.9,0,0,27,154
118,5,35,1700,25.6,993.8,21.1,0,0.9,25,165
147,9,53,1500,27.1,993.8,21.4,0,1.1,23,183
160,10,52,1500,27.9,993.7,21.4,0,0.9,34,173
172,9,63,1600,29.8,993.3,21.2,0,0.4,46,192
175,9,47,1500,31.3,993,20.6,0,1,73,191
74,8,40,1200,32,992.5,18.2,0,1,93,154
57,7,16,700,31.2,992.3,17.1,0,1.6,107,57
19,4,2,400,32.3,992.2,17.8,0,0.5,94,19
16,4,4,400,32.7,991.8,18.1,0,0.8,92,16
30,3,3,400,32.5,991.9,17.5,0,0.9,95,15
30,3,NA,500,31.8,992,18,0,0.4,100,21
49,3,7,500,28.6,992.6,19.5,0,0.9,87,19
41,3,17,600,26.7,993.8,20.1,0,0.4,86,24
80,3,31,800,26.1,994.3,19.7,0,0.8,66,42
80,3,19,700,25.3,994.5,19.2,0,0.1,64,38
17,3,12,600,24.3,994.6,19.1,0,0.4,57,38
10,3,11,500,23.9,994.5,19.6,0,0.9,58,28
28,3,11,600,23.4,994.4,20,0,0,57,34
39,3,17,700,23.2,994.6,19.8,0,0.7,50,37
39,3,16,NA,23.3,994.9,20.1,0,0,NA,39
48,3,16,700,22.9,995.2,20.1,0,0.5,55,54
53,3,7,700,23.1,995.9,20.2,0,0.7,59,57
51,3,9,700,24.5,996.2,20.4,0,0.5,56,64
85,4,48,900,26.3,996.5,20.4,0,1,29,66
96,3,66,900,27.3,996.4,20.4,0,1.4,18,74
83,3,46,700,29.1,996.4,20.5,0,0.7,30,59
58,3,23,600,30.5,996.1,20.4,0,1.8,60,51
91,3,23,700,31.1,995.6,20.1,0,1.7,80,64
91,4,18,700,31.8,995.1,19.1,0,1.9,110,73
24,3,4,600,32.6,994.6,18.4,0,3.4,128,48
24,3,NA,500,32.8,994.3,17.4,0,3.9,132,30
17,3,NA,400,33.3,994.2,16.6,0,1.4,132,25
21,3,NA,400,32.1,993.6,16.8,0,2.5,123,21
14,3,NA,400,31.7,993.3,15.6,0,1.6,116,14
14,3,13,400,30.4,993.8,18.8,0,0.1,111,15
26,3,21,400,28,994.6,19.8,0,1.2,100,15
148,3,29,600,27.2,995.6,20.3,0,1,93,37
62,3,35,700,25.5,996,19.6,0,1.3,81,41
62,3,17,500,25,996.2,19.8,0,1,62,28
24,3,13,500,24.5,996.2,19.6,0,1.1,58,25
30,3,16,500,24,996.2,19.7,0,1.1,51,25
30,3,9,500,23.5,995.8,19.8,0,0.5,55,27
30,3,8,500,23.5,996,20.2,0,1,55,30
52,3,40,600,23.1,995.9,20.2,0,1.2,33,34
56,3,78,700,23.5,996.2,20.4,0,0.2,10,41
94,3,72,800,23.4,996.7,20.3,0,0.6,8,52
96,3,66,900,24.4,996.8,20.9,0,0.2,9,61
84,4,55,900,25.6,997.2,21.1,0,1.2,14,74
119,7,63,1000,26.3,997.1,21.7,0,0.8,16,91
171,7,36,1300,27.3,996.6,22,0,0.6,28,116
171,9,25,1300,27.6,996.5,22.1,0,1.5,44,128
134,7,18,1300,28.6,996.3,21.6,0,1.4,62,129
134,7,20,1200,29.5,996.1,22,0,1.2,72,116
123,8,24,1100,30.1,995.5,22,0,2.4,89,119
133,4,23,1100,30.5,995.1,22.1,0,2.3,107,124
133,5,6,1000,30.5,994.9,21.3,0,4,124,106
81,6,6,1000,30.4,994.8,21.8,0,3.5,116,99
106,9,9,1000,30,994.9,21.9,0,1.9,113,87
118,9,12,1100,29.3,995.1,22,0,2.4,115,100
96,8,17,1100,28.8,995.5,22.1,0,1.9,109,91
116,7,28,1100,28.7,996.4,21.5,0,0.6,96,93
101,6,26,1200,27.6,996.4,21.4,0,0.5,84,92
114,3,48,1300,26.9,996.5,20.7,0,0.5,54,95
114,3,44,1200,25.9,996.4,20.9,0,0.4,48,90
81,3,25,1000,24.6,996.2,21.1,0,0.1,52,72
67,3,19,1000,24.3,996,20.6,0,0,46,71
57,3,24,1000,23.3,996.1,20.6,0,0.6,39,70
45,3,20,800,23.1,996.3,20.2,0,0.4,39,64
53,3,8,800,22.5,996.4,20.2,0,0.6,41,65
53,3,8,800,22.7,996.3,20.2,0,0,41,66
63,3,7,800,24.1,996.2,21,0,1.4,37,68
80,4,26,1000,25.8,996.6,20.8,0,1.4,29,79
80,4,26,NA,26.6,996.5,21.1,0,0.9,41.3406,79
137,12.5664,25.6625,NA,27.2,996.4,21.2,0,1,48.4092,118
157,14.28,33.2586,NA,27.3,996.3,21.8,0,0.5,53.7642,135
154,9.7104,36.1328,NA,28.1,996,21.6,0,0.7,61.047,142
167,7.9968,41.6759,NA,28.7,995.6,22,0,1.3,64.26,152
168,7,43,NA,29,995.3,22,0,0.8,73.4706,163
177,8,37,NA,28.9,994.9,21.9,0,1.7,89.5356,176
177,6,32,1500,28.9,993.6,21.4,0,2.3,102,173
120,10,30,1500,28.8,993.2,20.5,0,2.2,111,159
118,12,25,2000,28.6,993.3,20.1,0,1,118,156
93,17,29,2300,28.1,993.4,19.9,0,0.1,116,130
90,14,34,1800,27.9,994.2,19.7,0,1,101,114
127,15,37,1800,26.8,994.7,20.9,0,1,98,114
167,10,36,1900,26.3,994.3,20.6,0,1.2,82,131
167,8,27,1900,25.5,994.4,20.5,0,0.6,70,132
107,8,24,1800,25,994,20.3,0,0.1,63,129
88,8,18,1600,24.4,993.5,20.3,0,0.8,59,126
95,7,15,1600,24.2,993.1,20.1,0,0.1,54,118
72,6,13,1500,23.5,993,19.8,0,0.8,49,110
73,7,24,1300,23.7,993,19.4,0,0.8,40,110
103,8,33,1200,23.3,993,19.5,0,0.8,37,110
88,7,22,1200,22.5,993.5,19.3,0,0.6,36,107
58,7,19,1100,23.5,993.3,19.4,0,0.9,36,99
79,6,19,1100,25.4,993,18.3,0,0.7,33,95
38,6,19,NA,26.7,992.7,18.8,0,1.6,32.9868,95
112,9,29,900,28.1,992,19.3,0,1.7,37,65
100,10,31,900,29,991.6,19.9,0,2,49,95
125,9,27,1000,29.6,991,20.2,0,3,71,104
144,9,26,1000,30.7,990.2,20,0,1.7,109,111
144,6,15,900,31.5,989.5,19.2,0,2.4,240,93
18,4,7,700,32,988.9,19.3,0,3.3,236,51
40,4,7,600,32,988.3,19.3,0,2,218,38
67,4,7,600,31.5,987.8,19.5,0,2.4,215,36
69,5,7,600,30.7,988.2,19.7,0,2.5,222,40
66,4,12,600,29.9,989,19.9,0,2.3,203,36
63,4,18,600,28.9,989.7,20.1,0,1.1,177,38
69,4,22,600,27.1,990.2,20.9,0,0.5,157,38
75,3,21,600,25.6,990.2,21.1,0,0.9,135,35
67,3,18,600,24.9,990.4,20.6,0,0.9,110,39
67,3,13,600,24.9,990,20.2,0,0.7,101,39
28,3,8,600,23.7,990.2,20,0,1.8,101,40
29,3,4,600,23.1,990.4,19.9,0,1.7,96,40
24,3,2,500,22.5,990.5,19.7,0,0.5,92,42
22,4,4,NA,21.9,990.9,19.1,0,0.9,NA,37
25,4,4,500,21.7,991.4,18.3,0,1,67,38
10,5,17,600,23.2,991.6,17,0,0.7,56,33
30,8,37,700,27.6,992.1,16.9,0,0.7,28,30
53,17,44,800,29.8,992.5,16.2,0,0.5,17,25
53,29,35,700,32.3,992.4,15.8,0,1.6,39,16
7,26,22,700,33.8,992.2,15.3,0,2.5,57,19
44,19,24,600,35.1,991.7,13.3,0,3.3,68,16
44,17,14,500,35.9,991.3,13.4,0,1.9,90,12
14,12,13,400,36.5,991,15,0,3.8,106,8
23,11,9,400,37.1,990.2,15,0,2.5,123,11
26,11,10,400,37.4,990.3,14.7,0,2.6,134,18
16,11,10,400,37.7,990.1,14.9,0,2.3,138,13
36,13,17,400,37.8,989.8,15,0,2.4,142,13
32,10,16,400,37.1,990,15,0,1.2,140,13
38,8,20,400,35.4,990.2,16.7,0,1.3,131,11
22,6,21,400,30.8,990.6,17.8,0,1,112,15
95,7,36,500,28.8,991.5,16.7,0,1.3,80,18
95,4,23,400,27.5,992.1,16.1,0,0,62,14
9,3,26,400,26.8,992.2,15.8,0,0.7,49,13
10,3,33,400,26.4,992.2,15.4,0,0.9,40,10
25,3,43,500,26.5,992.4,15.5,0,0.4,32,12
25,3,23,400,25.5,992.5,15.8,0,0.5,45,6
8,3,23,300,24.9,992.3,15.5,0,0.4,44,11
10,3,36,300,24.4,992.3,16.4,0,0.5,29,5
13,4,32,400,25.5,992.9,15.8,0,1,29,7
8,3,23,300,24.6,993.3,16.1,0,1,41,7
33,7,59,400,27.9,993.3,16.5,0,0.9,8,14
42,8,42,400,29.6,993.3,17.4,0,0.6,25,15
50,7,34,600,30.9,993.6,17.9,0,2.2,37,15
41,8,28,800,32.7,993.4,16.1,0,1.2,44,21
38,8,26,400,34,993.7,16.4,0,1.8,53,14
38,7,21,400,34.2,993.6,16.1,0,2.6,83,9
53,6,23,400,35,992.9,14.8,0,2.6,115,19
53,5,11,400,36,992,15.7,0,1.8,152,21
29,4,9,400,36.9,991.7,15.4,0,1.6,164,13
27,4,13,500,36.5,991.4,15.6,0,4.1,216,22
46,5,17,500,36.1,991.1,15.8,0,2.6,252,24
47,6,17,500,35.3,991.2,15.6,0,3.3,228,21
46,6,19,500,34.2,991.7,16.6,0,1.8,204,22
70,8,29,500,32.9,992.4,20.1,0,2,191,22
190,16,42,1500,31.2,993.1,20.2,0,2.5,212,49
197,27,41,2100,30.1,993.7,19.8,0,3.5,214,87
104,20,35,1300,28.9,994.1,19.2,0,2.7,146,66
66,20,38,900,28.1,994.4,18.8,0,1.9,90,42
71,17,29,800,27.5,994.7,18.2,0,1.7,78,41
71,17,23,600,27.3,994.7,17.5,0,1.6,66,28
23,22,23,600,27.1,994.3,18.1,0,1.2,65,21
37,29,24,800,26.8,994.5,18.9,0,0.7,56,24
63,37,26,900,26.8,994.8,18.6,0,1.6,46,27
44,40,30,1400,26.3,994.8,19.2,0,0,37,28
52,36,34,1500,26.6,995,19.7,0,1.1,31,34
60,33,36,1500,27,995.1,19.6,0,1,29,30
93,29,51,1400,27.2,995.3,19.8,0,1,14,41
70,30,41,1300,27.5,995.6,17.9,0,1.4,28,43
70,45,36,1500,25.9,996.1,20.2,0,2.7,49,31
104,39,52,1600,24.3,996.2,21.6,0.2,1.3,35,34
112,23,60,1900,23.6,995.6,21.7,1.5,1.3,14,47
69,13,56,1800,23.6,995.4,21.7,0.9,0.4,17,50
72,9,50,1700,23.8,995,22.1,0,0.9,20,52
72,8,44,1600,24.4,994.3,22.1,0,1.5,15,45
45,9,61,1700,25.1,993.7,21.8,0,1.5,9,59
48,11,58,1600,25.5,993.6,22,0,0.8,21,61
56,10,51,1600,25.3,994,22,0,1.2,21,60
58,9,61,1600,25.2,993.9,22.1,0,0.7,13,67
52,9,59,1700,25.1,994.3,22.4,0,0.6,7,69
63,6,39,1400,24.8,994.2,22.3,0,0.6,22,68
57,6,47,1400,24.8,994,21.9,0,0,6,69
29,6,30,1100,24.7,994,22.2,0,0,26,65
61,7,59,1200,24.8,993.4,21.3,0,0.5,2,69
32,7,45,1200,25,993.1,20.5,0,1.1,13,72
32,7,45,1200,24.7,992.9,20.8,0,0.1,43,72
42,8,4,1200,24.1,992.7,21.2,0,0.9,70,69
52,8,9,1200,24,992.6,21.1,0,0.8,67,68
65,8,55,1300,24.1,992.5,21.4,0,1.1,12,73
85,8,60,1400,23.7,992.5,22,0.7,0,2,73
85,6,49,1400,24.2,992.8,22.1,0.1,0.5,5,77
66,3,31,1400,23.5,992.5,21.4,0.1,0.1,18,72
47,4,48,1400,23.9,992.4,22.2,0,0.1,22,84
71,4,39,1400,23.6,992.2,22.4,0.2,0.7,35,85
59,4,33,1500,24.2,991.7,22.6,0,0.5,44,85
51,4,33,1500,25.4,991.6,22.9,0.1,1.1,44,85
52,7,23,1300,26.2,991,23.1,0,1.2,60,90
49,10,20,1300,26.4,990.9,23.1,0.1,1,60,76
33,8,19,1300,26,990.8,22.9,0.1,0.2,65,61
75,9,20,1300,27.1,990.9,23.1,0,0.6,83,73
38,9,15,1300,27,991,23.3,0,0.6,87,91
82,10,30,1400,26.5,991.1,23.6,0,1,79,96
62,10,30,1300,25.7,991.6,23.4,0,1.2,77,96
89,6,40,1400,25.2,991.8,23.3,0,0.1,46,110
96,6,86,1700,24.9,991.8,23.1,0,0.6,2,126
65,6,47,1500,24,991.9,22.4,0,0,18,107
44,6,47,1500,23.4,991.1,21.8,0,0.7,18,107
42,6,31,1500,22.9,990.9,21.2,0,1.4,16,98
25,5,26,1500,22.8,991.2,21.3,0,0.6,9,82
47,4,25,1500,23.7,990.8,19.6,0,1.1,4,76
7,3,32,NA,23.3,991.3,19.7,0,2,NA,56
18,4,NA,500,24.1,991.5,19.4,0,1.5,25,18
19,7,19,500,24.2,991.5,19.3,0,1.3,34,19
6,8,20,500,26.8,992,19.7,0,0.8,35,18
5,14,21,600,29.7,992.3,18.8,0,0,44,18
31,17,21,600,31.5,992.6,19.2,0,1.4,48,18
10,17,14,600,32.3,992.5,19.2,0,1.4,62,17
16,17,18,500,33.7,992.3,19,0,1.9,70,14
21,12,14,500,34.6,991.9,19,0,1.6,94,7
22,13,14,400,35.4,991.3,18.9,0,2.7,121,8
25,5,14,500,35.9,990.9,19.4,0,2.5,143,19
9,3,11,500,36.7,990.5,18.7,0,2.6,160,17
42,3,16,500,37.8,989.9,17.8,0,2.6,211,17
18,3,13,500,37.9,989.7,18.4,0,2.9,177,19
18,3,10,400,37.1,989.8,17.7,0,1.8,130,18
8,6,21,500,35.7,990,18.8,0,1,117,22
37,4,25,500,32.2,990.4,20.5,0,0.8,106,17
114,4,37,600,29.6,991.2,21.8,0,1.6,94,27
122,3,48,700,29,991.4,20.7,0,0.8,90,36
47,4,42,700,28.5,991.4,20,0,0.6,68,34
24,4,21,600,28.2,991.6,20,0,0.6,68,24
20,4,13,500,27.8,991.4,20.1,0,1,71,20
25,3,14,500,27,991.6,20.6,0,0.4,68,20
33,3,21,500,26.5,991.4,20.8,0,0.1,56,25
33,3,21,500,26.1,991.3,20.9,0,0.8,53,25
30,3,24,500,26.2,991.5,20.3,0,0.5,40,17
28,3,32,500,26.4,991.6,20.3,0,0.5,30,17
30,3,29,500,27.2,991.8,21.2,0,0.2,32,24
51,3,30,700,28.3,991.9,21.6,0,0.5,30,22
141,3,34,700,29.1,992.1,21.3,0,0.5,21,27
89,3,54,900,29.5,992,22.2,0,0,11,33
142,3,64,1000,29.6,992.6,22.6,0,2,10,38
69,3,65,900,30.3,992.8,22.5,0,1.3,20,46
138,3,80,900,31,992.1,23.1,0,0.5,32,63
112,3,48,800,31.4,991.2,22.1,0,0.9,102,71
66,3,56,900,32.1,990.5,21.9,0,0.8,103,68
44,3,47,800,32.6,989.9,22.4,0,0.6,128,60
164,5,42,800,32.9,989.6,22.1,0,1.9,140,61
105,3,46,800,32.4,989.4,20.3,0,1.6,149,61
44,3,42,800,31.3,989.7,22.6,0,1.7,163,56
167,6,55,900,29.9,989.9,23.4,0,0.5,162,71
73,3,55,1000,28.6,990.8,22.6,0,0.8,138,76
137,3,48,1000,26.7,990.8,22.1,0,0.5,102,78
42,3,75,900,26.5,990.9,21.7,0,0.9,70,70
78,3,73,900,26,990.5,21.4,0,1.1,35,57
54,3,40,800,25.1,989.6,21.2,0,0.9,51,58
33,3,24,700,24.4,989.5,21.1,0,0.9,58,55
45,3,37,700,23.7,988.9,20.8,0,0.4,39,58
40,3,31,700,23.6,988.8,20.7,0,0.9,38,54
38,3,23,700,23.4,989.1,20.3,0,0,41,57
41,3,18,700,22.9,989.5,20.6,0,0.4,38,54
45,3,24,700,24.8,989.9,21.1,0,0,30,52
57,3,24,800,26.9,990.1,20.7,0,0.5,39,58
58,3.7128,30.1791,NA,28.7,990.2,21.5,0,1.4,48.6234,53
101,NA,31.6162,NA,29.8,990,22.5,0,1.4,82.6812,58
177,2.856,25.0466,NA,30.9,989.5,21.7,0,2.2,135.1602,129
119,NA,17.8611,NA,32.3,988.8,21.8,0,2.2,182.07,127
104,4.5696,18.2717,NA,33.3,988.2,21.5,0,2.4,230.265,121
72,7.14,14.7816,NA,34.1,987.5,21.9,0,1.7,258.9678,104
72,8,15,NA,34.4,987,21.8,0,1.7,302.2362,105
136,5.1408,20.1194,NA,34.2,986.7,23.3,0,3,360.4986,110
258,3,34,1400,34.7,986.2,20.7,0,1.9,429,177
258,3,32,1200,33.3,986.3,22.4,0,3,387,166
61,3,20,700,32.5,986.9,22.6,0,3.4,270,58
104,3,25,800,31.6,987.6,22,0,1.5,232,72
104,3,24,800,30.7,988.5,22.3,0,0.8,195,72
128,3,28,900,29.5,990,23.2,0,2.1,164,77
141,3,33,1000,29.4,992.4,19.7,0,7.9,148,94
129,3,19,1000,21.5,992.5,19.8,18.4,1.7,173,116
34,3,11,400,22.2,991.5,20.7,0.8,1.5,132,34
10,3,8,400,21.6,991.4,20.1,0,1.3,116,10
7,3,33,400,21.7,990.7,20.2,0,1.3,71,34
13,3,32,400,21.7,990.7,19.4,0,1.3,65,13
19,3,38,400,22.4,990.5,19.4,0,0.6,44,19
9,3,25,400,21.8,990.6,19.2,0,0.7,54,9
5,3,29,400,23.8,991.1,18.2,0,0.5,47,14
6,3,21,400,25.8,991.4,19,0,1.8,55,14
29,3,13,400,26.6,991.4,20,0,1.4,67,9
41,3,12,400,27.7,991.5,20.8,0,2.6,75,14
52,3,11,400,28.8,991.3,20,0,2.4,96,19
22,3,13,500,29.8,990.8,19.5,0,2,113,34
39,4,22,500,30.7,990.3,21.2,0,2,126,31
70,4,27,600,31.3,989.9,22,0,2.3,175,52
122,3,34,700,31.8,989.4,21.9,0,2,230,73
84,4,26,700,32.3,989.4,21.5,0,1.8,293,81
84,3,20,700,31.6,989.2,22,0,2.5,311,67
76,7,21,700,30.8,988.7,22.7,0,2.3,278,61
73,4,21,700,29.3,989.6,18.7,0,8.5,234,61
110,5,26,900,22.2,992.9,19.9,25.3,1,202,74
110,3,10,500,21.9,993.9,20.5,0.7,1.8,150,32
6,3,12,500,21.9,992.6,20.7,2.2,4.1,130,13
6,3,24,500,22,994.1,20.5,2.1,2.3,105,24
3,3,8,400,21.7,993.8,20.5,0,0.5,114,20
2,3,10,500,21.6,993.4,20.6,0,1.2,110,26
3,3,17,500,21.2,992.4,20.2,0,0.7,90,26
3,3,51,500,21.1,992.6,19.9,0,0,45,33
25,3,8,NA,21,993,20,0,1.4,NA,25
26,3,8,500,20.5,993.4,19.7,0,0.7,28,25
NA,3,12,500,20.4,993.6,19.4,0,1.1,48,28
11,3,18,500,21.8,993.9,19.9,0,1.4,40,24
67,3,23,500,24,995.2,20.7,0,1.1,44,20
67,5,25,500,25.5,995.5,20.1,0,0,57,26
54,6,35,600,26.8,994.9,20.2,0,1.1,49,31
54,6,35,500,24.3,994.9,21.6,0.3,1.9,98,31
43,3,30,600,24,995.9,21.5,0.3,0.9,79,28
59,3,35,600,23.5,996,21.6,1.1,1.6,60,32
50,3,33,700,24.4,995.1,21.9,0,1.4,61,34
5,3,25,600,24.8,995,21.5,0,0.9,73,36
30,3,30,700,27,994.8,21.3,0,1.4,68,46
6,3,30,700,27.3,994.4,20.9,0,1.7,89,42
12,3,22,600,27.1,994,20.7,0,0.6,112,34
11,3,16,600,25.9,994.5,20.7,0,0.6,122,31
18,3,15,600,24.7,995.5,21.2,0,0.2,122,30
41,3,17,600,24.2,996.8,21.3,0,0.6,90,32
49,3,25,700,22.8,997.4,20.7,0,1.1,84,42
49,3,25,700,22.5,996.8,20.6,0,1.4,53,47
30,3,9,600,21.7,996.8,20,0,1,48,30
12,3,7,500,21.8,996.3,19.9,0,0,48,24
15,3,5,500,21.7,996.4,20,0,0.2,48,29
19,3,3,500,21.3,996.3,19.8,0,0.8,53,28
14,3,15,500,21.1,996.4,19.7,0,1,41,30
15,3,6,500,20.8,996.4,19.6,0,0,49,28
34,4,44,600,20.9,997.1,19.4,0,0,9,39
23,3,18,600,22,997.7,19.7,0,0,31,35
30,3,14,700,23.1,998,20.1,0,0.5,36,36
39,3,26,700,26,997.8,20.6,0,0.4,33,41
75,6,19,800,27.2,997.9,20.3,0,0.7,65,58
